signalname,n_std,sr_std_ann,sharpe_ann,n_j,diff
AM,384,0.23040146429872993,0.3064163588383219,384,-0.07601489453959198
AOP,312,0.0287115056139935,0.0014419783169199,312,0.0272695272970736
AbnormalAccruals,276,-0.2181069247043742,-0.1744913511813703,276,-0.04361557352300391
Accruals,336,0.2582063531334594,0.1866821075018738,336,0.0715242456315856
AccrualsBM,240,0.6122948184055164,0.5734194232913294,240,0.03887539511418692
Activism1,14,0.24073283782212482,0.3037538410940779,14,-0.06302100327195306
Activism2,14,0.11051704110219136,0.1501211995529776,14,-0.03960415845078623
AdExp,276,0.13696924946332856,0.2927614291426558,276,-0.15579217967932724
AgeIPO,396,0.5034435090369257,0.4778273803863554,396,0.02561612865057028
AnalystRevision,480,1.3227573877358607,1.054904205097313,480,0.26785318263854774
AnalystValue,312,0.13390966812843424,0.2513138517746457,312,-0.11740418364621147
AnnouncementReturn,336,1.6046863659474373,1.352001572987291,336,0.25268479296014634
AssetGrowth,192,0.6975029127500536,0.6498629078383028,192,0.0476400049117508
BM,528,0.45162486860906387,0.4792971503168783,528,-0.02767228170781444
BMdec,384,0.5803593152428033,0.6232201721517564,384,-0.04286085690895314
BPEBM,204,0.009354423896966679,-0.0589386981231068,204,0.06829312202007348
Beta,612,0.10212087161930682,0.1259684003009433,612,-0.02384752868163649
BetaFP,120,-0.175809292542288,-0.0688848709307374,120,-0.1069244216115506
BetaLiquidityPS,252,0.0026357195111386604,-0.0067269818712385,252,0.00936270138237716
BetaTailRisk,120,0.1247600093261001,0.2557636265450806,120,-0.13100361721898052
BidAskSpread,456,-0.09984456378091902,0.0021816019928199,456,-0.10202616577373892
BookLeverage,384,0.00975148426877597,-0.0217735627108113,384,0.031525046979587266
BrandInvest,120,-0.2611970359094664,-0.2882679305972632,120,0.027070894687796776
CBOperProf,96,0.4771657363178663,0.345995624957567,96,0.13117011136029927
CF,360,0.24235195306659765,0.2462476852420558,360,-0.003895732175458161
CPVolSpread,157,0.9081652842402017,0.8978683525694245,157,0.010296931670777165
Cash,144,0.09198167654889715,-0.0706826499523663,144,0.16266432650126345
CashProd,180,0.08647213035267179,0.2000135785671947,180,-0.11354144821452292
ChAssetTurnover,192,0.06942602555873734,0.1276928411593314,192,-0.058266815600594074
ChEQ,168,0.48987439578461295,0.5252570616566924,168,-0.035382665872079444
ChForecastAccrual,240,0.27425557192874367,0.2721233860181539,240,0.002132185910589779
ChInv,264,0.4792625889122898,0.452807801303682,264,0.02645478760860781
ChInvIA,312,0.23522018549959792,0.2864026137626499,312,-0.051182428263052
ChNAnalyst,192,0.06845569260576895,0.131248437304643,192,-0.06279274469887405
ChNNCOA,192,-0.23059882181825916,-0.2212376013314786,192,-0.009361220486780564
ChNWC,192,0.35851269390573637,0.2537953162943588,192,0.10471737761137756
ChTax,156,0.7564794816887622,0.7627265778414803,156,-0.0062470961527181235
ChangeInRecommendation,240,0.669478643206186,0.6077972897828109,240,0.06168135342337511
CitationsRD,132,0.13742906859067194,0.0900786367425728,132,0.047350431848099145
CompEquIss,216,0.7403905723196728,0.5312047515312962,216,0.20918582078837655
CompositeDebtIssuance,192,0.6569659412399785,0.5455030748438502,192,0.11146286639612835
ConsRecomm,276,0.12685757369815892,0.1244935057049477,276,0.002364067993211219
ConvDebt,96,0.511159181585109,0.513393573137019,96,-0.0022343915519100754
CoskewACX,216,0.5414696100721886,0.2709832500952575,216,0.27048635997693116
Coskewness,288,0.37646724675167537,0.346879663638064,288,0.02958758311361137
CredRatDG,276,0.45086280847778826,0.2137038181273674,276,0.23715899035042085
CustomerMomentum,192,0.37538584346877896,0.3819920436298742,192,-0.006606200161095255
DebtIssuance,300,0.36054624791897616,0.1696856147833504,300,0.19086063313562576
DelBreadth,264,0.4044079759542597,0.300230017132813,264,0.1041779588214467
DelCOA,228,0.2962306169775549,0.3073005559281608,228,-0.011069938950605929
DelCOL,228,0.14687442060370567,0.1955518003834837,228,-0.04867737977977801
DelDRC,132,0.4515101155386198,0.373525229366814,132,0.07798488617180582
DelEqu,228,0.3036793525884657,0.3601511439070925,228,-0.05647179131862684
DelFINL,228,0.5899316898203792,0.4590451476754805,228,0.13088654214489875
DelLTI,228,0.29704411735546804,0.3899300292033116,228,-0.09288591184784356
DelNetFin,228,0.28538233121430984,0.0541481916301981,228,0.23123413958411174
DivInit,348,0.2872751867224558,0.2519979414054155,348,0.035277245317040296
DivOmit,347,0.6703750036211655,0.5484377209216365,347,0.12193728269952908
DivSeason,132,0.5876056194233557,0.6361920104840653,132,-0.04858639106070961
DivYieldST,540,1.6204635660313784,1.433193779473913,540,0.1872697865574655
DolVol,312,0.17219820760083945,0.3700508398995542,312,-0.19785263229871472
DownRecomm,276,0.5908781093398817,0.6049302901121985,276,-0.014052180772316736
EBM,204,0.48990388044685645,0.4178227275444194,204,0.07208115290243705
EP,564,0.09671751258598235,0.2448270059956361,564,-0.14810949340965374
EarnSupBig,204,0.4135025616722877,0.4849075057237518,204,-0.07140494405146408
EarningsConsistency,180,0.547196337478192,0.5389332169179987,180,0.008263120560193293
EarningsForecastDisparity,156,0.24404430010543193,0.1986635184032619,156,0.045380781702170025
EarningsStreak,144,1.2997660659029946,1.2347961011973407,144,0.06496996470565386
EarningsSurprise,480,0.8810577994716865,0.7706095995646163,480,0.11044819990707022
EntMult,156,0.21230083448305126,0.2355802583661382,156,-0.02327942388308693
EquityDuration,240,-0.021923494587237437,0.0075517968519845,240,-0.029475291439221937
ExchSwitch,348,0.7127702809490049,0.7012372829937801,348,0.011532997955224777
ExclExp,252,0.17859409455657285,0.1228735686968894,252,0.055720525859683456
FEPS,216,0.39379360460285473,0.4117551885735545,216,-0.017961583970699746
FR,216,-0.24593086128602756,-0.3545744048153481,216,0.10864354352932051
FirmAge,480,-0.25812819220697714,-0.1795283961544662,480,-0.07859979605251094
FirmAgeMom,216,0.7685174028527074,0.5994898789737629,216,0.16902752387894449
ForecastDispersion,264,0.4513591119883349,0.2785065791417478,264,0.17285253284658708
Frontier,180,0.31485696624355725,0.2779857712247651,180,0.03687119501879216
GP,132,0.937149698570124,0.8000144739830107,132,0.13713522458711325
Governance,38,-0.6747440430008796,-0.9706851661798416,38,0.29594112317896193
GrAdExp,120,0.08900051567791291,0.1654524718688357,120,-0.07645195619092278
GrLTNOA,252,-0.04892480072673657,-0.1148808025567897,252,0.06595600183005312
GrSaleToGrInv,312,-0.13056535688145166,-0.061526471363964,312,-0.06903888551748766
GrSaleToGrOverhead,312,-0.2816541940154925,-0.2308774085853063,312,-0.05077678543018621
Herf,216,-0.2996330778561037,-0.4013504012636766,216,0.10171732340757289
HerfAsset,216,-0.5482033984810921,-0.4813835619560059,216,-0.06681983652508622
HerfBE,216,-0.5267787603204919,-0.4438047671317023,216,-0.08297399318878956
High52,240,0.2951443669415251,0.1439621704782451,240,0.15118219646328002
IO_ShortInterest,228,1.1037946705300272,0.7220527472700252,228,0.381741923260002
IdioVol3F,216,0.2717286616645955,0.1630417699351761,216,0.10868689172941942
IdioVolAHT,252,0.092788423424574,0.1217294786978493,252,-0.0289410552732753
Illiquidity,264,0.06356116677166819,0.0765613408166151,264,-0.01300017404494691
IndIPO,396,0.5397571180415356,0.4286449022820741,396,0.11111221575946151
IndMom,300,0.21759253525449354,0.2546917374466041,300,-0.037099202192110575
IndRetBig,204,0.6067806858782914,0.5653337016044822,204,0.04144698427380922
IntMom,144,0.336356604085644,0.3042372948554233,144,0.032119309230220716
IntanBM,216,-0.16283785711176132,0.084786173911493,216,-0.2476240310232543
IntanCFP,216,0.07697750600860871,0.2672343021468617,216,-0.19025679613825303
IntanEP,216,0.20851748491590288,0.2579659217285436,216,-0.04944843681264072
IntanSP,216,-0.02825498335268316,0.1359730695385305,216,-0.16422805289121367
InvGrowth,144,0.5592284654027202,0.5446972204295119,144,0.014531244973208346
InvestPPEInv,192,0.5455513016987125,0.4925530823732943,192,0.05299821932541815
Investment,240,0.03855979388452621,0.0939915625994707,240,-0.055431768714944485
LRreversal,468,0.20878582024262854,0.3213347045971654,468,-0.11254888435453686
Leverage,432,0.11705579664775333,0.2103903152419389,432,-0.09333451859418558
MRreversal,468,0.18385615495132007,0.3018344818888906,468,-0.11797832693757054
MS,228,0.6835760033989088,0.6150585244523596,228,0.06851747894654914
MaxRet,156,0.16460858428376837,0.1050826832406444,156,0.05952590104312397
MeanRankRevGrowth,360,0.08772998536321366,0.0449131135452891,360,0.04281687181792456
Mom12m,372,0.5081567841198142,0.3327032039528409,372,0.17545358016697332
Mom12mOffSeason,192,0.47795165001182754,0.3510811164442864,192,0.12687053356754113
Mom6m,372,0.625221961816399,0.4259791401190292,372,0.1992428216973698
Mom6mJunk,204,0.35234093123566534,0.2124368724738576,204,0.13990405876180775
MomOffSeason,192,0.2189943747272613,0.249444183321385,192,-0.03044980859412369
MomOffSeason06YrPlus,192,0.8351944765044871,0.519178538848441,192,0.3160159376560461
MomOffSeason11YrPlus,192,0.04962029425330442,0.0523377817311336,192,-0.0027174874778291766
MomOffSeason16YrPlus,192,0.40173597994791366,0.2576395936640145,192,0.14409638628389915
MomRev,216,0.007128117176024869,0.0393800478254959,216,-0.03225193064947103
MomSeason,192,0.055806058027105185,-0.0498909353585334,192,0.1056969933856386
MomSeason06YrPlus,192,0.0715112534591911,0.0759779858942023,192,-0.004466732435011195
MomSeason11YrPlus,192,0.19520248303439883,0.2028496279250418,192,-0.007647144890642971
MomSeason16YrPlus,192,0.6764510529926737,0.5848334367553081,192,0.09161761623736564
MomSeasonShort,192,0.11504563371644397,0.0978307833540827,192,0.01721485036236127
MomVol,288,0.5405216940702997,0.3783326113353357,288,0.16218908273496402
NOA,240,0.13897195910099996,0.0178426948404408,240,0.12112926426055917
NetDebtFinance,216,0.6977098076289242,0.6345583695517866,216,0.06315143807713763
NetDebtPrice,204,0.3440428715509925,0.0643863373110002,204,0.2796565342399923
NetEquityFinance,216,0.7703925429749755,0.7228652201512674,216,0.047527322823708085
NetPayoutYield,204,0.9272469763774868,0.916274950691264,204,0.010972025686222797
NumEarnIncrease,144,0.7545130651690214,0.6636137259483341,144,0.09089933922068727
OPLeverage,156,0.06413188812419689,-0.0328674197338677,156,0.09699930785806458
OScore,312,0.524875691389974,0.57314664195962,312,-0.04827095056964592
OperProf,216,0.590830766809904,0.5587737111089824,216,0.032057055700921544
OperProfRD,96,0.6388824733487367,0.5880770117002864,96,0.050805461648450345
OptionVolume1,129,0.01143708515856027,0.1211133725549411,129,-0.10967628739638083
OptionVolume2,129,-0.3755955707520998,-0.4260891591744349,129,0.05049358842233509
OrderBacklog,252,-0.4220254857296898,-0.4361213673597758,252,0.014095881630086016
OrderBacklogChg,204,0.6095166065856736,0.621186625031837,204,-0.011670018446163333
OrgCap,132,0.35595227853970574,0.2593273836037378,132,0.09662489493596793
PS,288,0.295828652459721,0.2356231514757831,288,0.0602055009839379
PatentsRD,48,-1.0703848600850203,-0.998818332916914,48,-0.0715665271681063
PayoutYield,204,0.02768336630920393,0.2103317149423189,204,-0.18264834863311497
PctAcc,156,0.1518637232329695,0.2818043624265625,156,-0.12994063919359297
PctTotAcc,156,0.8854521373090258,0.7749820620626517,156,0.11047007524637409
PredictedFE,312,-0.10110010874819043,-0.0306175576327269,312,-0.07048255111546353
Price,612,0.06686771544255904,0.1570397794869927,612,-0.09017206404443365
PriceDelayRsq,224,-0.25303517222199456,-0.2440553537927254,224,-0.008979818429269176
PriceDelaySlope,224,-0.17574699703641716,-0.1379174281960597,224,-0.03782956884035746
PriceDelayTstat,224,-0.17055156474562985,-0.1330648212656446,224,-0.03748674347998526
ProbInformedTrading,132,0.42246323252233026,0.1342955364295327,132,0.2881676960927976
RD,276,0.18518693890541935,0.1372407433800061,276,0.04794619552541324
RDAbility,132,0.24891476507673826,0.2354811545221191,132,0.013433610554619169
RDIPO,216,0.7853227116947097,0.6785668348720509,216,0.10675587682265875
RDS,156,-0.19888665655362697,-0.1828560474270673,156,-0.01603060912655968
RDcap,156,0.0025214242702402967,-0.1642050492327643,156,0.1667264735030046
REV6,336,0.8487184111792996,0.5939502090905515,336,0.25476820208874806
RIO_Disp,228,0.4313687846809641,0.4275771622363897,228,0.0037916224445744273
RIO_MB,228,0.12171613142791181,0.0996733937243279,228,0.022042737703583906
RIO_Turnover,228,0.43616217621230347,0.4279810486283331,228,0.008181127583970382
RIO_Volatility,228,0.8293582252461101,0.72568071698176,228,0.10367750826435018
RIVolSpread,157,0.1651456542172303,0.1560726021836072,157,0.009073052033623102
RealizedVol,216,0.1626498904103454,0.0248221303322288,216,0.1378277600781166
Recomm_ShortInterest,156,0.3081185176527354,0.3174315127390142,156,-0.009312995086278808
ResidualMomentum,156,0.3251718547613514,0.3557101232752324,156,-0.030538268513880973
ReturnSkew,108,0.39799598136272646,0.4280055403652398,108,-0.030009559002513342
ReturnSkew3F,108,0.21019608440787327,0.3993909989479828,108,-0.18919491454010953
RevenueSurprise,216,0.8537021829505925,0.650194453979095,216,0.2035077289714975
RoE,336,0.42237752383741184,0.3901969847171987,336,0.032180539120213125
SP,336,0.5649717409141941,0.6048569529305888,336,-0.03988521201639472
STreversal,408,0.9492386015453285,0.71566651764782,408,0.2335720838975085
ShareIss1Y,192,0.5908662455612891,0.6478776387752008,192,-0.05701139321391169
ShareIss5Y,216,0.8109314481517857,0.7785398658977227,216,0.03239158225406302
ShareRepurchase,348,0.4307888691524573,0.4467897308169934,348,-0.016000861664536126
ShareVol,312,0.11924743441828853,0.0562076771689999,312,0.06303975724928862
ShortInterest,276,0.867702411191039,0.8294872280887169,276,0.03821518310232208
Size,516,-0.07457347490795513,0.0509822904144505,516,-0.12555576532240564
SmileSlope,133,1.882433908219599,1.5504624951516504,133,0.33197141306794875
Spinoff,372,0.08952727258780216,-0.0290236923022257,372,0.11855096489002787
SurpriseRD,240,0.051330475309217784,-0.0590025648747227,240,0.11033304018394048
Tax,240,0.7606031244395661,0.7136425894890752,240,0.046960534950490906
TotalAccruals,228,-0.06726638971176488,0.0233797967211132,228,-0.09064618643287808
TrendFactor,96,0.0932297024192495,0.1682602495986964,96,-0.0750305471794469
UpRecomm,276,0.5569592730343944,0.5412374443529956,276,0.01572182868139882
VarCF,336,0.10329674706417138,-0.0329030369118872,336,0.13619978397605859
VolMkt,336,0.2781304650568241,0.2554250387907921,336,0.022705426266032003
VolSD,276,0.1624214883661335,0.0074094861566772,276,0.1550120022094563
VolumeTrend,336,0.9725965863929055,0.9605801649170876,336,0.012016421475817829
XFIN,216,0.8563841631575742,0.840163103568926,216,0.016221059588648168
betaVIX,216,0.23038012924891763,0.2084371392934059,216,0.02194298995551172
cfp,240,0.6938834996395004,0.6729162202450663,240,0.020967279394434102
dCPVolSpread,97,1.360623596814174,1.2003227098778082,97,0.1603008869363658
dNoa,240,0.35236693137792774,0.3733135397410342,240,-0.020946608363106467
dVolCall,97,1.1078738297785584,0.847289624250253,97,0.2605842055283054
dVolPut,97,0.325539446659036,0.3406292656462816,97,-0.015089818987245596
fgr5yrLag,336,0.001612946491459424,-0.00032066345778,336,0.001933609949239424
grcapx,216,0.24036687377617996,0.3485229422887435,216,-0.10815606851256351
grcapx3y,216,-0.030755652698225906,0.0907357115750247,216,-0.12149136427325061
hire,120,0.19474052007557355,0.2586716821264976,120,-0.06393116205092406
iomom_cust,168,0.10176051793709542,0.0504752868760388,168,0.051285231061056626
iomom_supp,168,0.09040547961832526,0.0567849409510342,168,0.03362053866729106
realestate,168,0.3313505563428847,0.1677492741054289,168,0.1636012822374558
retConglomerate,144,0.37204058456346584,0.3121287460576289,144,0.05991183850583692
roaq,168,0.7167283367972975,0.7818289812959662,168,-0.0651006444986687
sfe,276,0.3558039282069931,0.3915952702996058,276,-0.0357913420926127
sinAlgo,180,-0.0811213676841885,-0.0829011554898258,180,0.0017797878056372979
skew1,145,0.43453641130288584,0.3441820844544688,145,0.09035432684841704
std_turn,276,0.14308274587323874,-0.0152143626566707,276,0.15829710852990944
tang,180,-0.04139015485444954,-0.0816822131817409,180,0.040292058327291366
zerotrade12M,216,0.2874235860551724,0.1018918806205416,216,0.18553170543463077
zerotrade1M,216,0.36248779901581424,0.152405817285729,216,0.21008198173008524
zerotrade6M,216,0.3195031857159532,0.1446017388422185,216,0.1749014468737347
