signalname,n_pre,n_Y,v_min,meanY2
AM,498,474,1.887122220137594,1.2295299317307842
AOP,270,246,1.3855728687686395,1.3196548008136768
AbnormalAccruals,354,330,1.2302405918645265,1.3030702236681173
Accruals,534,510,1.0196438382532158,1.2221872684468775
AccrualsBM,485,461,3.2362392128745037,1.1854437802655882
Activism1,183,159,1.3052432702568293,1.2099775891923887
Activism2,183,159,2.8662837381879864,1.1825063271528862
AdExp,452,428,2.373218690426749,1.139368405412757
AgeIPO,132,108,2.34937080091614,1.3759364336771294
AnalystRevision,106,82,1.217424154568918,1.9390133085041248
AnalystValue,270,246,1.7606783704348679,1.1422346086823445
AnnouncementReturn,304,280,0.8866112476839102,2.1336914217182246
AssetGrowth,678,654,1.8283060498610126,1.3304658395873767
BM,354,330,2.183771725617905,1.2653607531133937
BMdec,486,462,1.9606540298363593,1.2334498748935656
BPEBM,546,522,0.6447436802653647,1.1917632776733522
Beta,550,526,2.913517991403002,1.2312297677186748
BetaFP,1041,1017,3.779379132897521,1.2041607593847
BetaLiquidityPS,481,457,2.3792665340407666,1.1006661163844482
BetaTailRisk,996,972,1.9080712889183127,1.1260067904231221
BidAskSpread,731,707,2.5345336135084175,1.38883577990961
BookLeverage,498,474,1.069538806923588,1.2176021252021538
BrandInvest,594,570,3.0824791264401252,1.1292423283734865
CBOperProf,654,630,2.2950765028837594,1.1953068103943725
CF,522,498,1.992748607129071,1.3278415544953712
CPVolSpread,167,143,1.4398249917389447,1.4629040971639917
Cash,495,471,1.5056186861469576,1.241113147054224
CashProd,708,684,1.7404041521963627,1.3176147938274896
ChAssetTurnover,666,642,0.8418157394515304,1.170635807842653
ChEQ,582,558,1.5097843260339279,1.3010032283935815
ChForecastAccrual,342,318,0.891135074689396,1.1993041620143063
ChInv,606,582,1.3507904014765089,1.340751910341667
ChInvIA,558,534,0.9342882315912654,1.2726793799355696
ChNAnalyst,366,342,1.8480626078875773,1.323078223465052
ChNNCOA,678,654,0.8310879115174561,1.1495676239458714
ChNWC,678,654,0.5575735439596106,1.2043500049781908
ChTax,591,567,1.5205828829458237,1.3914353305308111
ChangeInRecommendation,133,109,0.9864516964629279,1.987855392371012
CitationsRD,438,414,1.0745586606919493,1.1068044532518402
CompEquIss,911,887,1.211780489788834,1.1457787590241744
CompositeDebtIssuance,630,606,0.7606432127761165,1.2121147995018267
ConsRecomm,98,74,2.2607836616042056,1.9429484923383993
ConvDebt,792,768,0.7796554699663188,1.234959339556432
CoskewACX,533,509,1.2817632072462493,1.2680513159395057
Coskewness,882,858,1.2188634850772255,1.222499775380579
CredRatDG,382,358,1.897208033689032,1.1716502671636686
CustomerMomentum,378,354,3.133488824940594,1.225156222569644
DebtIssuance,336,312,0.5689089569730039,1.5937941248346683
DelBreadth,270,246,1.9416172219143932,1.4612459267755291
DelCOA,642,618,0.9756651743345467,1.2780078485740705
DelCOL,642,618,1.1232640799760303,1.161758933579868
DelDRC,162,138,1.3668607624049214,0.781807566532121
DelEqu,522,498,1.8496294902267925,1.2301200834945045
DelFINL,642,618,0.9187426471142267,1.4782621355703909
DelLTI,630,606,0.7096331113460314,1.2554909482015013
DelNetFin,642,618,0.8367222555479304,1.3605749516583956
DivInit,839,815,1.4332585002347598,1.2377310269651707
DivOmit,793,769,2.2399794067034913,1.1153085964422988
DivSeason,1052,1028,0.40530325090680636,1.5132337519936867
DivYieldST,641,617,0.9685034196622854,1.5028823508780897
DolVol,873,849,2.1336152046941055,1.376374724735289
DownRecomm,97,73,0.6643779718861905,2.7194601970967085
EBM,546,522,0.8579443442066337,1.1525053563639502
EP,324,300,1.3767094110448184,1.2743676619522788
EarnSupBig,535,511,1.3912185482221526,1.374457732775622
EarningsConsistency,678,654,1.0825064072095087,1.1931041593651557
EarningsForecastDisparity,360,336,1.3943581517030745,1.4359242701521255
EarningsStreak,338,314,1.2219651923078874,1.5322987287994805
EarningsSurprise,259,235,1.4741627347278545,1.5111747082388445
EntMult,726,702,1.7985634154292696,1.2691976601646486
EquityDuration,498,474,2.1011581087629656,1.2448499925366467
ExchSwitch,398,374,1.9456651410506758,1.1094158648997376
ExclExp,236,212,0.7506592227150348,1.4033722968790119
FEPS,371,347,2.7198237559727274,1.3029315418230032
FR,306,282,1.6587110864985746,1.167673481067568
FirmAge,678,654,0.8368956109230612,1.2555498894125046
FirmAgeMom,948,924,2.4984562626531814,1.3949467980177295
ForecastDispersion,323,299,1.8069822291520357,1.517106217064504
Frontier,558,534,2.762386218646193,1.311582451991605
GP,750,726,1.774356714130135,1.1485239634360902
Governance,159,135,1.4656660428718427,1.3947866496132133
GrAdExp,594,570,1.506477855441331,1.0206560456293547
GrLTNOA,618,594,1.1413649084829254,1.1538703940973603
GrSaleToGrInv,558,534,0.7972856261161758,1.2073353911306934
GrSaleToGrOverhead,558,534,0.9826782598981855,1.204134647432964
Herf,671,647,0.910617808672194,1.2908730490284828
HerfAsset,661,637,0.8963963690691684,1.2821471450234112
HerfBE,661,637,0.9023816183129291,1.275547152108598
High52,942,918,1.9851063379951608,1.44808953972742
IO_ShortInterest,313,289,8.86398731964551,1.08405662406849
IdioVol3F,965,941,2.2801870119216643,1.222425439581325
IdioVolAHT,918,894,2.5666587984442994,1.2044475336047882
Illiquidity,906,882,1.711851573126254,1.1431682786253388
IndIPO,200,176,1.355754561782402,0.8995038068034078
IndMom,882,858,1.3042502960216853,1.3101105272493552
IndRetBig,983,959,1.6581715910211825,1.5375895415483667
IntMom,1032,1008,2.9202542390609283,1.2715277275547119
IntanBM,486,462,1.6790076761469082,1.1533317640769445
IntanCFP,612,588,1.7169609062104927,1.2425063237504108
IntanEP,606,582,1.5443887152858786,1.151430323510377
IntanSP,606,582,2.1776259158666518,1.2465368350318509
InvGrowth,726,702,1.4930699343992047,1.2698542878784371
InvestPPEInv,684,660,0.9532306249207992,1.373984213478075
Investment,618,594,1.4043361820051605,1.263661538093141
LRreversal,684,660,1.9147340121297125,1.372829080512776
Leverage,450,426,1.384493724231901,1.2300537206117954
MRreversal,702,678,1.5221391495073497,1.6251018788052105
MS,359,335,2.720725867689302,1.1067449566456162
MaxRet,1031,1007,2.9144555578938016,1.3043473252774929
MeanRankRevGrowth,450,426,1.2997509198227422,1.1709817255747463
Mom12m,804,780,2.8970053466854977,1.3905459408642615
Mom12mOffSeason,994,970,2.8370808386234962,1.493802434426086
Mom6m,810,786,2.690027944577659,1.4285507486769962
Mom6mJunk,454,430,3.73280309881475,1.218585269708332
MomOffSeason,983,959,2.4036333082463153,1.371792895943464
MomOffSeason06YrPlus,935,911,1.6937971375310084,1.1750587775832824
MomOffSeason11YrPlus,875,851,1.4489762736119642,1.231733118688842
MomOffSeason16YrPlus,815,791,1.3104795610126065,1.181865877941127
MomRev,935,911,2.3429970385203993,1.2279907569809987
MomSeason,972,948,1.6291685555501891,1.2490564640113302
MomSeason06YrPlus,924,900,1.47914747614332,1.2241179256117536
MomSeason11YrPlus,864,840,1.4612126086465727,1.2375411260963851
MomSeason16YrPlus,804,780,1.4691860240194232,1.2578742798117195
MomSeasonShort,984,960,1.7872263083190738,1.3759819180178674
MomVol,876,852,3.0123040243598047,1.3971540154039392
NOA,504,480,1.9296838129430272,1.471150664646797
NetDebtFinance,414,390,1.1788885634311241,1.386130781834982
NetDebtPrice,534,510,1.3308057928151564,1.2842995096388325
NetEquityFinance,414,390,1.5348972218752628,1.2505458141096244
NetPayoutYield,654,630,1.6634885810392441,1.2304922671466503
NumEarnIncrease,588,564,0.7267732885892567,1.4703139226901623
OPLeverage,726,702,1.528907758385828,1.2050026919727168
OScore,324,300,2.5972932257954637,1.196045882225959
OperProf,522,498,1.6942681847283292,1.2835406721330562
OperProfRD,642,618,2.825761670512586,1.1782914391730825
OptionVolume1,202,178,1.2391105605380401,1.400209293934352
OptionVolume2,201,177,1.0527035826659328,1.7888125994725221
OrderBacklog,390,366,1.5378619438473766,1.3310844044905177
OrderBacklogChg,426,402,1.925335270254566,1.1557228796777166
OrgCap,750,726,1.7379370242489363,1.1491109026970296
PS,348,324,3.728384740822116,1.0442319719329558
PatentsRD,399,375,0.9412534290355232,2.4254872341075178
PayoutYield,654,630,1.8721019932850962,1.162722423504097
PctAcc,570,546,1.0310158905538442,1.1247641363922254
PctTotAcc,282,258,0.9499324667895324,1.2221001504501992
PredictedFE,186,162,2.516127176944541,1.179988683080757
Price,576,552,2.766094060429657,1.365149907395998
PriceDelayRsq,941,917,2.144761296717129,1.1618103876456336
PriceDelaySlope,941,917,1.2391038582813239,1.0753790884737655
PriceDelayTstat,941,917,1.2395458967566417,1.0576189766708284
ProbInformedTrading,108,84,4.824815352767227,1.4311673483378502
RD,606,582,2.0914770815608428,1.4456949565419766
RDAbility,678,654,1.991159956004215,1.0586107669512255
RDIPO,356,332,1.6976524569265998,1.136089123813013
RDS,462,438,1.2027572678881948,1.0697907331547467
RDcap,378,354,1.7275895209949603,1.290956918460553
REV6,244,220,1.2355311691108033,1.7028566822806248
RIO_Disp,359,335,2.63555940969969,1.0321189710159677
RIO_MB,513,489,2.7360659972842267,1.097999500498371
RIO_Turnover,952,928,2.4780455604587712,1.136022490200135
RIO_Volatility,951,927,2.4185383275299683,1.156587260094912
RIVolSpread,167,143,1.7018172426800922,1.812436285477804
RealizedVol,965,941,2.7208374854129476,1.2241550327167208
Recomm_ShortInterest,217,193,2.5782036136898894,1.2784623676286078
ResidualMomentum,979,955,1.763108293583173,1.3856015234938754
ReturnSkew,1079,1055,0.8308769373420767,1.4784287756948071
ReturnSkew3F,1073,1049,0.7014794099736495,1.3460616504836074
RevenueSurprise,523,499,0.9701154042337747,1.4504772592744766
RoE,426,402,1.169857295525559,1.1149011900819499
SP,546,522,1.6596374205642912,1.2588222174958135
STreversal,779,755,2.137882626089612,1.7877297969482724
ShareIss1Y,978,954,0.7189709956662091,1.2054625864084336
ShareIss5Y,906,882,0.7817507967909307,1.1788249878208952
ShareRepurchase,282,258,0.5969803090009088,1.325429333548139
ShareVol,864,840,2.3512650383992675,1.197398425983287
ShortInterest,347,323,1.3439586668019352,1.2818622769088672
Size,666,642,1.4212403818889212,1.3233274502260093
SmileSlope,191,167,1.0311742923308127,1.9585278044953478
Spinoff,816,792,1.645532505674855,1.3505988798373065
SurpriseRD,634,610,0.7584720554130666,1.1941310220156218
Tax,642,618,1.028282423661305,1.2813598440723497
TotalAccruals,642,618,1.0461207617978812,1.2537225583519966
TrendFactor,1090,1066,1.5567894711264136,1.8129806524079084
UpRecomm,97,73,0.8701154608648661,1.8967055658880105
VarCF,522,498,2.010203821327371,1.2731126647081763
VolMkt,846,822,2.5270163263307177,1.1670606664285765
VolSD,898,874,1.781970228150141,1.1264555660479825
VolumeTrend,822,798,0.8845607853347308,1.2697393353522433
XFIN,414,390,1.4920341331685263,1.332118994451211
betaVIX,251,227,1.76384545867871,1.3201752000293214
cfp,486,462,1.6828541814369882,1.2949692110301025
dCPVolSpread,226,202,1.417942390263667,1.4897330313812729
dNoa,510,486,1.410661314674611,1.473604632902613
dVolCall,226,202,1.6114362466560817,1.2825044374707297
dVolPut,226,202,1.5314516116807597,1.5768708601105246
fgr5yrLag,174,150,3.162950555149287,1.1526581309274082
grcapx,642,618,1.0014874488928176,1.2669641790943278
grcapx3y,630,606,1.1374903486538774,1.2550817727628183
hire,594,570,1.2592705667006598,1.2513858009626615
iomom_cust,299,275,1.7867017148683253,1.327591503856715
iomom_supp,299,275,1.6328853594145347,1.3932867773580235
realestate,486,462,1.7386834544489786,1.2211469161571353
retConglomerate,443,419,2.3173759947209702,1.3724758417228167
roaq,534,510,2.6302106759555257,1.3858268685663335
sfe,297,273,2.8331316119584176,1.439788042509525
sinAlgo,1008,984,1.6153043194776602,1.2345513053174566
skew1,179,155,1.3015955824145016,1.6011309038342398
std_turn,888,864,2.514019470103756,1.1470197376909266
tang,708,684,1.2649091088314435,1.3886160139610335
zerotrade12M,959,935,2.5823650491805155,1.0944476299219896
zerotrade1M,960,936,2.3645650908980578,1.114379138787736
zerotrade6M,965,941,2.4884397091574932,1.1034589206090788
